UI Privacy Pattern Examples ,,,
,,,
Application UI Example,Link to Example,Example Figma Template Link,General Design Template Collection
LinkedIn Privacy Settings,https://www.linkedin.com/legal/privacy/settings,,- 
LinkedIn Privacy Policy Summary,https://www.linkedin.com/legal/privacy-policy-summary,,-  
Apple's Privacy App Nutrition Labels ,https://www.businessinsider.com/reference/what-are-apple-privacy-nutrition-labels,,- 
Nutrition Labels (for Insta/FB),https://techwellness.com/blogs/expertise/how-to-stop-apps-tracking,,- 
Stripe Privacy Center,https://stripe.com/en-ca/legal/privacy-center,,- 
,,,
,,,
,,,
Application UI Example,Link to Example,Example  Figma Template Link,General Design Template Collection
Slack Create Channel Prompt,https://www.digitaltrends.com/computing/how-to-make-slack-channel-private/,,- 
Slack Create Channel - Ticketing,https://fluentsupport.com/docs/managing-tickets-using-slack/,,- 
Google Docs Sharing Dialog,https://support.google.com/docs/answer/2494822,,- 
Google Docs Sharing Permission,https://www.idownloadblog.com/2023/11/03/how-to-share-google-drive-files-folder-from-iphone-mac/,,- 
Chat Before Download ,https://www.sciencedirect.com/science/article/pii/S0747563225003425,,- 
Notion Share Page Prompt,https://www.notion.so/help/sharing-and-permissions,,- 
,,,
,,,
,,,
Application UI Example,Link to Example,Example Figma Template Link,General Design Template Collection
Spotify Privacy Page,https://www.spotify.com/account/privacy/,,- 
Canva Privacy & Data Controls,https://www.canva.com/help/privacy-policy/,,- 
USERCENTRICS,https://usercentrics.com/knowledge-hub/types-of-consent/,,- 
Duolingo Privacy Settings,https://www.duolingo.com/privacy,,- 
,,,
,,,
,,,
Application UI Example,Link to Example,Example  Figma Template Link,General Design Template Collection
GitHub Cookie Consent (logged-in),https://github.com/topics/cookie-consent,,- 
Medium Email & Data Preferences,https://medium.com/me/settings,,- 
ons.gov.uk,https://www.ons.gov.uk/cookies,,- 
"EU Public Service Portals (e.g., French Gov)",https://www.service-public.fr/,,- 
,,,
,,,
,,,
Application UI Example,Link to Example,Example Figma Template Link,General Design Template Collection
Facebook Privacy Checkup,https://about.fb.com/news/2020/01/privacy-checkup/,,- 
Uber Privacy Center,https://medium.com/uber-security-privacy/its-data-privacy-week-introducing-uber-s-new-privacy-center-and-more-fbed358fef91,,- 
Google Account Preference Centre,https://myaccount.google.com,,- 
Airbnb Privacy Settings,https://www.airbnb.com/help/article/2858,,- 
,,,
,,,
,,,
Application UI Example,Link to Example,Example Figma Template Link,General Design Template Collection
Signal Privacy Defaults,https://www.expressvpn.com/blog/what-is-signal-app/?srsltid=AfmBOoqz68k-emXb0DyuePYTmP5o8Xo7Sc28DyWZ2qBk5myG_mlhbPqe,,-
WhatsApp Profile Visibility,https://www.internetmatters.org/parental-controls/social-media/whatsapp/  https://ssd.eff.org/module/how-to-use-whatsapp                ,,- 
,,,
,,,
,,,
Application UI Example,Link to Example,Example Figma Template Link,General Design Template Collection
Banking Revoke Data,https://www.thoughtworks.com/en-ca/insights/blog/open-banking-designing-trust-consumer-consent,,- 